2024.03.16,1004,Silence
2024.03.16,1006,Silence
2024.03.16,1007,Silence
2024.03.16,100850,Silence
2024.03.16,100916,Silence
2024.03.16,100920,Silence
2024.03.16,100929,Silence
2024.03.16,101115,Silence
2024.03.16,101546,Silence
2024.03.16,101133,Silence
2024.03.16,101559,Silence
2024.03.16,101623,Silence
2024.03.16,101635,Silence
2024.03.16,101647,Silence
2024.03.16,101700,Silence
2024.03.16,101712,Silence
2024.03.16,101726,Silence
2024.03.16,101739,Silence
2024.03.16,101805,Silence
2024.03.16,101752,Silence
2024.03.16,101818,Silence
2024.03.16,101831,Silence
2024.03.16,101844,Silence
2024.03.16,101909,"Outside, rural or natural"
2024.03.16,101857,"Outside, rural or natural"
2024.03.16,101922,"Outside, rural or natural"
2024.03.16,101935,Sound effect
2024.03.16,101948,"Walk, footsteps"
2024.03.16,102001,"Walk, footsteps"
2024.03.16,102014,"Inside, small room"
2024.03.16,102026,Silence
2024.03.16,102038,Silence
2024.03.16,102050,Silence
2024.03.16,102102,Silence
2024.03.16,102115,Cat
2024.03.16,102127,Silence
2024.03.16,102139,Silence
2024.03.16,102203,Silence
2024.03.16,102215,Silence
2024.03.16,102227,Silence
2024.03.16,102239,Silence
2024.03.16,102251,Animal
2024.03.16,102304,Breathing
2024.03.16,102316,Breathing
2024.03.16,102328,Animal
2024.03.16,102340,Silence
2024.03.16,102404,Silence
2024.03.16,102416,Silence
2024.03.16,102428,Silence
2024.03.16,102440,"Inside, small room"
2024.03.16,102453,"Inside, small room"
2024.03.16,102505,Silence
2024.03.16,102517,Silence
2024.03.16,102529,Silence
2024.03.16,102541,Silence
2024.03.16,102553,Silence
2024.03.16,102605,Silence
2024.03.16,102617,Silence
2024.03.16,102642,Silence
2024.03.16,102654,Silence
2024.03.16,102706,Silence
2024.03.16,102730,Silence
2024.03.16,102742,Silence
2024.03.16,102806,Animal
2024.03.16,102818,Silence
2024.03.16,102831,Silence
2024.03.16,102843,"Inside, small room"
2024.03.16,102855,Silence
2024.03.16,102919,Silence
2024.03.16,102931,"Domestic animals, pets"
2024.03.16,102943,Silence
2024.03.16,102955,"Cattle, bovinae"
2024.03.16,103007,Silence
2024.03.16,103020,Sound effect
2024.03.16,103032,"Roaring cats (lions, tigers)"
2024.03.16,103044,"Roaring cats (lions, tigers)"
2024.03.16,103056,Snake
2024.03.16,103108,Snake
2024.03.16,103120,Wild animals
2024.03.16,103144,Vehicle
2024.03.16,103208,Owl
2024.03.16,103209,Rumble
2024.03.16,103221,Insect
2024.03.16,103245,Insect
2024.03.16,103257,Animal
2024.03.16,103309,Owl
2024.03.16,103333,White noise
2024.03.16,103345,White noise
2024.03.16,103358,White noise
2024.03.16,103410,White noise
2024.03.16,103422,Snake
2024.03.16,103434,Snake
2024.03.16,103446,White noise
2024.03.16,103510,Snake
2024.03.16,103458,Snake
2024.03.16,103522,Snake
2024.03.16,103547,Spray
2024.03.16,103559,Snake
2024.03.16,103611,Snake
2024.03.16,103635,White noise
2024.03.16,103647,Snake
2024.03.16,103659,Snake
2024.03.16,103712,Mouse
2024.03.16,103736,White noise
2024.03.16,103800,Buzz
2024.03.16,103824,Insect
2024.03.16,103836,Mouse
2024.03.16,103848,White noise
2024.03.16,104616,Insect
2024.03.16,104901,Insect
2024.03.16,104913,"Ratchet, pawl"
2024.03.16,104925,Snake
2024.03.16,104937,Snake
2024.03.16,104950,Rail transport
2024.03.16,105002,White noise
2024.03.16,105014,Snake
2024.03.16,105026,Snake
2024.03.16,105038,Insect
2024.03.16,105050,Insect
2024.03.16,105114,Snake
2024.03.16,105127,Buzz
2024.03.16,105138,Buzz
2024.03.16,105139,Insect
2024.03.16,105203,Snake
2024.03.16,105215,Snake
